JobNo,JobDate,StartTime,EndTime,TimezoneNo,CaseNo,JobType,ScheduledByEmail,JobLocName,JobLocAddress,JobLocCity,JobLocState,JobLocZip,SchedulingNotesHtml,ZoomMeetingId,ConfirmationNotesHtml,LastModified,LastModifiedBy,Entered,EnteredBy
3000,2008-09-04,14:30:00,17:00:00,1017,1000,821,,Miles L. Gammage,216 Main Street,Cedartown,GA,30125,,,,2008-09-09 12:48:30.250000,1001,2008-07-19 09:39:18.877000,1
3065,2008-08-27,14:00:00,17:00:00,1017,1011,822,,Offices of Dr. Christopher Clare,"35 Collier Road
Suite 115",Atlanta,GA,30309,,,,2008-09-02 15:16:48.193000,1000,2008-08-13 13:15:29.160000,1000
3086,2008-08-14,15:00:00,19:00:00,1017,1030,821,,Resurgens Orthopedics,"5665 Peachtree Dunwoody Road, Ste 700",Atlanta,GA,,,,,2008-09-04 13:58:13.543000,1000,2008-08-18 14:58:00.580000,1001
3095,2008-09-09,17:00:00,20:00:00,1017,1011,822,,"Offices of Sutton Orthapaedics & Sports Medicine, P.C.",145 Medical Blvd,Stockbridge,GA,30281,,,,2008-09-05 11:03:24.840000,1000,2008-08-19 11:18:22.423000,1000
3114,2008-09-15,10:00:00,17:00:00,1017,1008,821,,Ridgeview Institute,3995 South Cobb Drive,Smyrna,GA,,,,,2008-10-03 12:57:47.533000,1000,2008-08-25 10:09:21.213000,1000
3115,2008-09-17,10:00:00,17:00:00,1017,1008,821,,Ridgeview Institute,3995 South Cobb Drive,Smyrna,GA,,,,Rescheduled to 09/17/2008,2008-09-12 16:25:57.967000,1001,2008-08-25 10:09:21.387000,1000
3116,2008-09-18,10:00:00,17:00:00,1017,1008,821,,Ridgeview Institute,3995 South Cobb Drive,Smyrna,GA,,,,,2008-10-03 14:32:41.267000,1000,2008-08-25 10:09:21.400000,1000
3117,2008-09-19,10:00:00,20:00:00,1017,1008,821,,Ridgeview Institute,3995 South Cobb Drive,Smyrna,GA,,,,,2008-10-01 15:06:38.493000,1000,2008-08-25 10:09:21.417000,1000
3126,2008-08-29,02:00:00,16:00:00,1017,1004,821,,Georgia Office of the Attorney General,"40 Capitol Square, SW",Atlanta,GA,30334,,,,2012-02-20 16:28:28.037000,1000,2008-08-28 12:12:33.067000,1001
3134,2008-09-04,02:45:00,17:00:00,1017,1004,821,,Georgia Office of the Attorney General,"40 Capitol Square, SW",Atlanta,GA,30334,,,,2012-02-20 16:28:28.037000,1000,2008-09-02 16:24:57.877000,1001
