job_no, job_date, start_time, end_time, timezone_name, case_no, job_type, status_name, scheduled_by_email, job_loc_name, job_loc_address, job_loc_city, job_loc_state, job_loc_zip,scheduling_notes_html, zoom_meeting_id, confirmation_notes_html, last_modified_at, last_modified_by, entered_at, entered_by
98684,2023-04-06,10:00:00,12:00:00,Eastern Standard Time,53363,Depo: Court Reporter Only,Turned In,,"Elizabeth Gallo Court Reporting, LLC","2900 Chamblee Tucker Road
Building 13",Atlanta,GA,30341,,,Court Reporter ONLY | **ALL parties to appear in-person**,2026-03-05 12:10:56.313000,36090,2023-04-06 12:57:53.413000,27562
132605,2025-12-18,13:30:00,15:30:00,Eastern Standard Time,73032,Depo: Court Reporter Only,Back Order,,Morgan & Morgan - Atlanta,"191 Peachtree Street, NE
Suite 4200",Atlanta,GA,30303-1748,,,Court Reporter ONLY | **ALL parties to appear in-person**,2026-03-05 14:00:43.423000,33329,2025-12-03 09:54:57.030000,43151
133354,2026-02-12,08:30:00,12:00:00,Eastern Standard Time,73472,"Depo: Reporter, Videographer",Shipped,,Newton County Judicial Center,1132 Usher Street,Covington,GA,30014,,,<br>Court Reporter &amp; Videographer | **ALL parties to appear in-person**<br><br><br>,2026-03-03 11:25:35.327000,33329,2025-12-26 09:23:57.587000,43871
134019,2026-03-06,10:00:00,12:00:00,Eastern Standard Time,73846,"VTC: Reporter, Interpreter",Confirmed,,ALL parties to attend remotely via Zoom,"(ALL attendees are to appear remotely)	
GLS did not set up the Zoom link.
",REMOTE,,,Interpreter: Salomon Perez,,"Remote Court Reporter &amp; Spanish Interpreter |&nbsp;&nbsp;All parties to attend remotely<br><br><span style=""background-color:#ffff00;"">GLS did not set up the Zoom link&nbsp;</span><br><br>ZOOM link for ALL parties to appear remotely:<br><br>Join Zoom Meeting<br>https://us02web.zoom.us/j/82664183369?pwd=9Fd0z0cwYYR5FbcEkOR8ZJZvgkaHxM.1<br>Meeting ID: 826 6418 3369<br>Passcode: 655305<br><br>",2026-03-05 14:35:45.190000,43151,2026-01-14 11:28:05.407000,43151
134022,2026-01-21,12:00:00,17:00:00,Eastern Standard Time,70249,"Cross-Depo: Reporter, Interpreter",Back Order,,GalloMeet Web Conferencing - Maple Boardroom,All attendees appearing remotely.,REMOTE,,,<strong>Spanish Interpreter needed only for the 3pm deposition of Eduardo Guevara Pinto</strong>,,"<strong><span style=""background-color:#ffff00;"">Cross-depositions: The court reporter will take down the plaintiff and defendant's depositions, and bill accordingly.</span></strong><br><strong><span style=""background-color:#ffff00;""><br>Remote Court Reporter and Interpreter|&nbsp;&nbsp;All parties to attend remotely</span></strong><br><br><strong>Language: Spanish.&nbsp; Interpreter only for 3pm deposition of Eduardo Guevara Pinto</strong><br><br>ZOOM link for ALL parties to appear remotely:<br><br>Join from PC, Mac, Linux, iOS or Android: https://gallo-legal.zoom.us/j/83498920273?pwd=yp3EOyAQP5v7G5afQ64BEK0hupXvMS.1<br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 799184<br><br>or&nbsp;<br><br>Visit https://gallo-legal.zoom.us/<br>Click ""Join Meeting""<br>Enter Meeting ID: 834 9892 0273<br><br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 799184<br>&nbsp;<br>Or iPhone one-tap:&nbsp;&nbsp;16469313860,83498920273# or 13017158592,83498920273#<br><br>Or Telephone&nbsp;&nbsp;(Mute PC to avoid feedback if using telephone for audio and computer for video.):<br>&nbsp;&nbsp;&nbsp;&nbsp;Dial: +1 646 931 3860 (US Toll) or +1 301 715 8592 (US Toll)<br>&nbsp;&nbsp;&nbsp;&nbsp;888 788 0099 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0276 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0282 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;877 853 5247 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;Meeting ID: 834 9892 0273&nbsp;<br>",2026-03-05 08:48:40.840000,41829,2026-01-14 11:37:11.580000,43151
134717,2026-03-05,13:00:00,16:00:00,Eastern Standard Time,75029,"VTC: Reporter, Interpreter",Confirmed,,GalloMeet Web Conferencing - Red Beech Boardroom,All attendees appearing remotely.,REMOTE,,,,,"Remote Court Reporter &amp; Interpreter | All parties to attend remotely<br><br>Language: Spanish<br><br>ZOOM link for ALL parties to appear remotely:<br><br>Join from PC, Mac, Linux, iOS or Android: https://gallo-legal.zoom.us/j/85196624806?pwd=NAhZ7K4LVAW1W34gKCYMP4jO1iTBW5.1<br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 424771<br><br>or&nbsp;<br><br>Visit https://gallo-legal.zoom.us/<br>Click ""Join Meeting""<br>Enter Meeting ID: 851 9662 4806<br><br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 424771<br>&nbsp;<br>Or iPhone one-tap:&nbsp;&nbsp;13092053325,85196624806# or 13126266799,85196624806#<br><br>Or Telephone&nbsp;&nbsp;(Mute PC to avoid feedback if using telephone for audio and computer for video.):<br>&nbsp;&nbsp;&nbsp;&nbsp;Dial: +1 309 205 3325 (US Toll) or +1 312 626 6799 (US Toll)<br>&nbsp;&nbsp;&nbsp;&nbsp;877 853 5247 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;888 788 0099 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0276 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0282 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;Meeting ID: 851 9662 4806&nbsp;",2026-03-04 15:26:10.467000,44077,2026-01-29 09:31:24.860000,12494
134740,2026-05-07,10:00:00,13:00:00,Eastern Standard Time,74211,"VTC: Reporter, Interpreter",New,,GalloMeet Web Conferencing - Bamboo Boardroom,All attendees appearing remotely.,REMOTE,,,,,"Remote Court Reporter &amp; Interpreter | All parties to attend remotely<br><br>Language: Dari<br><br>ZOOM link for ALL parties to appear remotely:<br><br>Join from PC, Mac, Linux, iOS or Android: https://gallo-legal.zoom.us/j/86736646830?pwd=el2DIcO3jWHxWqyxojbbV8Bi4esbSx.1<br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 022460<br><br>or&nbsp;<br><br>Visit https://gallo-legal.zoom.us/<br>Click ""Join Meeting""<br>Enter Meeting ID: 867 3664 6830<br><br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 022460<br>&nbsp;<br>Or iPhone one-tap:&nbsp;&nbsp;13017158592,86736646830# or 13052241968,86736646830#<br><br>Or Telephone&nbsp;&nbsp;(Mute PC to avoid feedback if using telephone for audio and computer for video.):<br>&nbsp;&nbsp;&nbsp;&nbsp;Dial: +1 301 715 8592 (US Toll) or +1 305 224 1968 (US Toll)<br>&nbsp;&nbsp;&nbsp;&nbsp;877 853 5247 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;888 788 0099 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0276 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0282 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;Meeting ID: 867 3664 6830&nbsp;",2026-03-03 12:32:35.597000,44077,2026-01-29 11:27:50.697000,37784
135017,2026-03-04,11:00:00,13:00:00,Eastern Standard Time,74374,"VTC: Reporter, Videographer",Confirmed,,GalloMeet Web Conferencing - Cedar Boardroom,All attendees appearing remotely.,REMOTE,,,,,"Remote Court Reporter &amp; Videographer |&nbsp;&nbsp;All parties to attend remotely<br><br>ZOOM link for ALL parties to appear remotely:<br><br>Join from PC, Mac, Linux, iOS or Android: https://gallo-legal.zoom.us/j/87305858711?pwd=WSgLjXwdsALYzNmpaOFSoeH4AaIz3v.1<br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 921916<br><br>or&nbsp;<br><br>Visit https://gallo-legal.zoom.us/<br>Click ""Join Meeting""<br>Enter Meeting ID: 873 0585 8711<br><br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 921916<br>&nbsp;<br>Or iPhone one-tap:&nbsp;&nbsp;13052241968,87305858711# or 13092053325,87305858711#<br><br>Or Telephone&nbsp;&nbsp;(Mute PC to avoid feedback if using telephone for audio and computer for video.):<br>&nbsp;&nbsp;&nbsp;&nbsp;Dial: +1 305 224 1968 (US Toll) or +1 309 205 3325 (US Toll)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0282 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;877 853 5247 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;888 788 0099 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0276 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;Meeting ID: 873 0585 8711&nbsp;",2026-03-03 15:15:08.727000,37784,2026-02-04 12:08:03.623000,43151
135271,2026-02-25,09:00:00,17:00:00,Eastern Standard Time,74494,Cross-Depo: Court Reporter Only,Back Order,,Buckhead Family Law,"No. 18, 3017 Bolling Way NE
First Floor",Atlanta,GA,30305,,,"Cross-depositions: The court reporter will take down the plaintiff and defendant's depositions, and bill accordingly.<br>",2026-03-05 10:08:40.773000,41829,2026-02-09 13:08:06.700000,37784
135502,2026-03-11,10:00:00,12:00:00,Eastern Standard Time,73923,"VTC: Reporter, Interpreter",New,,GalloMeet Web Conferencing - Buckeye Boardroom,All attendees appearing remotely.,REMOTE,,,,,"Remote Court Reporter &amp; Spanish Interpreter |&nbsp;&nbsp;All parties to attend remotely<br><br>ZOOM link for ALL parties to appear remotely:<br><br>Join from PC, Mac, Linux, iOS or Android: https://gallo-legal.zoom.us/j/89169430550?pwd=cpzI4YQAcOdYGB0kicPkbmuParHIb0.1<br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 010109<br><br>or&nbsp;<br><br>Visit https://gallo-legal.zoom.us/<br>Click ""Join Meeting""<br>Enter Meeting ID: 891 6943 0550<br><br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 010109<br>&nbsp;<br>Or iPhone one-tap:&nbsp;&nbsp;16468769923,89169430550# or 16469313860,89169430550#<br><br>Or Telephone&nbsp;&nbsp;(Mute PC to avoid feedback if using telephone for audio and computer for video.):<br>&nbsp;&nbsp;&nbsp;&nbsp;Dial: +1 646 876 9923 (US Toll) or +1 646 931 3860 (US Toll)<br>&nbsp;&nbsp;&nbsp;&nbsp;877 853 5247 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;888 788 0099 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0276 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0282 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;Meeting ID: 891 6943 0550&nbsp;",2026-03-03 12:06:15.860000,43151,2026-02-12 13:23:52.620000,37784
