task_no, job_no, rsrc_no,task_list_note, notified_date, order_date, due_date, cancel_date, cancel_by, acknowledged_date, estimated_pages, estimated_delivery_date, turn_in_date, task_notes, rsrc_notes,last_modified_at, last_modified_by, entered_at, entered_by
148287,136464,2348,Court Reporter,2026-03-05 19:41:49.050000,2026-03-06,2026-03-20,,,,0,,,,,2026-03-05 19:41:49.050000,37784,2026-03-05 19:38:24.707000,37784
148276,136454,1642,Interpreter,2026-03-05 16:41:02.657000,2026-03-30,2026-04-13,,,,0,,,,,2026-03-05 16:41:02.657000,43151,2026-03-05 16:37:41.880000,43151
148269,136442,1642,Interpreter,2026-03-05 16:10:52.920000,2026-04-15,2026-04-29,,,,0,,,,,2026-03-05 16:10:52.920000,44077,2026-03-05 16:09:55.947000,44077
148265,136442,2549,Interpreter,2026-03-05 16:00:33.533000,2026-04-15,2026-04-29,2026-03-05 16:05:49.430000,1158,,0,,,,,2026-03-05 16:05:49.430000,44077,2026-03-05 15:59:48.170000,44077
148263,136443,1642,Interpreter,2026-03-05 15:58:17.203000,2026-05-14,2026-05-29,,,,0,,,,,2026-03-05 15:58:17.203000,43151,2026-03-05 15:55:10.397000,43151
148246,136430,2587,Court Reporter,2026-03-05 13:41:41.180000,2026-04-22,2026-05-06,,,,0,,,,,2026-03-05 13:41:41.180000,44077,2026-03-05 13:39:57.360000,44077
148243,132605,2267,Backorder,2026-03-05 13:06:28.170000,2026-03-05,2026-03-19,,,,115,,,,,2026-03-05 14:07:07.830000,26940,2026-03-05 13:04:57.223000,33329
148236,134019,1642,Interpreter,2026-03-05 15:18:36.510000,2026-03-06,2026-03-20,,,2026-03-05 16:07:25.443000,0,,,,,2026-03-05 16:07:25.443000,43151,2026-03-05 12:27:30.120000,43151
148233,98684,2550,Court Reporter,,2026-03-05,2026-03-19,,,,0,,2026-03-05 12:10:56.313000,,,2026-03-05 12:10:56.313000,36090,2026-03-05 12:08:17.407000,39467
148228,136416,2526,Court Reporter,2026-03-05 15:20:24.323000,2026-03-06,2026-03-20,,,2026-03-05 16:06:25.763000,0,,,,,2026-03-05 16:06:25.763000,37784,2026-03-05 10:50:23.867000,43151
148227,136415,2769,Court Reporter,2026-03-05 11:07:05,2026-03-05,2026-03-19,,,,0,,,,,2026-03-05 11:07:05,37784,2026-03-05 10:49:25.500000,37784
148226,136404,2734,Videographer,2026-03-05 15:17:38.533000,2026-03-06,2026-03-20,,,2026-03-05 17:04:15.483000,0,,,,,2026-03-05 17:04:15.483000,43151,2026-03-05 10:35:55.690000,37784
148225,136405,2734,Videographer,2026-03-05 15:17:40.823000,2026-03-06,2026-03-20,,,2026-03-05 17:07:05.883000,0,,,,,2026-03-05 17:07:05.883000,43151,2026-03-05 10:35:00.953000,37784
148219,135271,2019,Backorder,2026-03-05 10:11:06,2026-03-05,2026-03-19,,,,0,,,,,2026-03-05 10:11:06,41829,2026-03-05 10:09:36.707000,41829
148217,136410,1000,Court Reporter,,2026-03-05,2026-03-19,,,,0,,2026-03-05 10:00:00,,,2026-03-05 10:14:56.913000,34130,2026-03-05 10:07:35.253000,34130
148206,136405,2213,Court Reporter,2026-03-05 15:20:22.990000,2026-03-06,2026-03-20,,,2026-03-05 17:20:53.620000,0,,,,,2026-03-05 17:20:53.620000,43151,2026-03-05 09:22:39.403000,43871
148205,136404,2213,Court Reporter,2026-03-05 15:20:21.343000,2026-03-06,2026-03-20,,,2026-03-05 17:20:49.580000,0,,,,,2026-03-05 17:20:49.580000,43151,2026-03-05 09:17:41.173000,43871
148202,136030,1899,Court Reporter,2026-03-05 15:53:47.117000,2026-03-06,2026-03-20,,,2026-03-05 16:07:16.043000,0,,,,,2026-03-05 16:07:16.043000,37784,2026-03-05 09:00:54.180000,37784
148198,136398,1407,Court Reporter,2026-03-05 12:40:33.877000,2026-03-05,2026-03-19,,,,0,,2026-03-05 15:23:42.703000,,,2026-03-05 15:23:42.703000,24562,2026-03-05 08:46:58.803000,44077
148197,136017,2647,Court Reporter,2026-03-05 08:09:31.097000,2026-03-05,2026-03-19,,,,0,,,,,2026-03-05 09:31:36.287000,39992,2026-03-05 08:09:14.427000,37784
148196,136395,2693,Court Reporter,2026-03-04 17:22:05.520000,2026-03-05,2026-03-19,,,2026-03-04 17:29:32.470000,0,,,,,2026-03-04 17:29:32.470000,43151,2026-03-04 17:20:59.823000,43871
148195,135546,2784,Court Reporter,2026-03-04 17:21:43.860000,2026-03-04,2026-03-05,,,,0,,,,,2026-03-04 17:21:43.860000,43151,2026-03-04 17:18:05.520000,43151
148194,136394,1642,Interpreter,2026-03-05 14:25:32.490000,2026-03-09,2026-03-23,,,,0,,,,,2026-03-05 14:25:32.490000,43151,2026-03-04 17:11:34.510000,43151
148193,136394,2784,Court Reporter,,2026-03-09,2026-03-23,,,,0,,,,,2026-03-05 12:26:17.890000,37784,2026-03-04 17:09:18.233000,43151
148190,136391,2351,Court Reporter,,2026-03-13,2026-04-03,,,,0,,,,,2026-03-05 13:55:56.520000,37784,2026-03-04 16:33:28.733000,43151
148188,136389,1956,Court Reporter,,2026-03-12,2026-03-26,,,,0,,,,,2026-03-05 13:37:23.727000,37784,2026-03-04 16:21:40.050000,43151
148186,136386,2723,Court Reporter,2026-03-05 12:33:27.760000,2026-03-09,2026-03-23,,,,0,,,,,2026-03-05 12:33:27.760000,37784,2026-03-04 16:10:06.020000,44077
148184,136384,2541,Videographer,2026-03-04 16:05:34.210000,2026-03-12,2026-03-19,,,,0,,,,,2026-03-04 16:05:34.210000,43871,2026-03-04 16:02:21.943000,43871
148183,136384,2541,Court Reporter,2026-03-04 16:05:05.247000,2026-03-12,2026-03-26,,,,0,,,,,2026-03-04 16:05:05.247000,43871,2026-03-04 16:01:28.413000,43871
148181,134022,2533,Backorder,2026-03-04 15:50:10.620000,2026-03-04,2026-03-18,,,,0,,,,,2026-03-04 15:50:10.620000,41829,2026-03-04 15:44:09.467000,41829
148180,136381,1642,Interpreter,2026-03-04 15:39:45.827000,2026-03-05,2026-03-19,2026-03-04 15:57:05.217000,1152,,0,,,,,2026-03-04 15:57:05.217000,43151,2026-03-04 15:37:48.927000,44077
148178,136381,2784,Court Reporter,2026-03-04 15:43:03.110000,2026-03-05,2026-03-19,,,2026-03-04 15:44:42.820000,0,,,,,2026-03-04 15:44:42.820000,37784,2026-03-04 15:34:56.893000,44077
148174,136374,2709,Court Reporter,2026-03-05 15:20:19.973000,2026-03-06,2026-03-27,,,2026-03-05 17:18:13.433000,0,,,,,2026-03-05 17:18:13.433000,43151,2026-03-04 14:41:32.423000,44077
148167,136367,2260,Court Reporter,2026-03-05 15:20:17.983000,2026-03-06,2026-03-20,,,2026-03-05 16:08:05.020000,0,,,,,2026-03-05 16:08:05.020000,43151,2026-03-04 12:58:12.207000,43871
148166,136366,2261,Court Reporter,,2026-03-12,2026-03-26,,,,0,,,,,2026-03-05 13:36:09.710000,37784,2026-03-04 12:57:23.720000,43151
148164,136364,2699,Court Reporter,2026-03-05 13:22:14.730000,2026-03-11,2026-03-25,,,,0,,,,,2026-03-05 13:22:14.730000,37784,2026-03-04 12:46:40.700000,37784
148158,136358,2086,Court Reporter,,2026-03-11,2026-03-25,,,,0,,,,,2026-03-05 13:23:37.080000,37784,2026-03-04 12:33:43.533000,37784
148154,136354,2701,Court Reporter,,2026-03-09,2026-03-23,,,,0,,,,,2026-03-05 12:14:35.817000,37784,2026-03-04 12:15:32.853000,43151
148152,136353,2812,Court Reporter,2026-03-05 14:18:46.677000,2026-03-13,2026-03-27,,,,0,,,,,2026-03-05 14:18:46.677000,37784,2026-03-04 12:12:08.847000,44077
148148,136352,1516,Court Reporter,,2026-03-05,2026-03-19,2026-03-04 12:27:02.943000,1158,,0,,,,,2026-03-04 12:27:02.943000,44077,2026-03-04 11:39:32.703000,44077
148141,136350,1642,Interpreter,2026-03-04 15:14:08.483000,2026-03-05,2026-03-19,,,2026-03-04 15:24:06.910000,0,,,,,2026-03-04 15:24:06.910000,43151,2026-03-04 10:52:54.617000,44077
148138,136350,1971,Court Reporter,2026-03-04 15:17:04.107000,2026-03-05,2026-03-19,,,2026-03-04 15:25:32.463000,0,,2026-03-05 21:14:59.003000,,,2026-03-05 21:14:59.003000,25108,2026-03-04 10:50:45.160000,44077
148134,136347,1642,Interpreter,2026-03-04 15:14:02.893000,2026-03-05,2026-03-19,,,2026-03-04 15:22:25.733000,0,,2026-03-05 14:16:07.923000,,,2026-03-05 14:16:07.923000,41762,2026-03-04 10:42:40.587000,44077
148133,136347,2581,Court Reporter,2026-03-04 15:17:02.107000,2026-03-05,2026-03-19,,,2026-03-04 15:21:59.833000,0,,2026-03-05 13:25:26.213000,,,2026-03-05 13:25:26.213000,38004,2026-03-04 10:40:36.417000,44077
148129,136342,2544,Court Reporter,,2026-03-09,2026-03-23,,,,0,,,,,2026-03-05 12:29:44.347000,37784,2026-03-04 10:24:43.523000,43871
148128,136210,2549,Interpreter,2026-03-04 10:26:25.390000,2026-03-19,2026-04-02,,,,0,,,,,2026-03-04 10:26:25.390000,44077,2026-03-04 10:24:33.047000,44077
148127,136305,2420,Court Reporter,,2026-03-10,2026-03-24,,,,0,,,,,2026-03-05 12:44:18.110000,37784,2026-03-04 10:22:08.443000,43151
148125,136327,2420,Court Reporter,2026-03-04 15:16:58.690000,2026-03-05,2026-03-19,,,2026-03-04 16:24:19.240000,0,,,,,2026-03-04 16:24:19.240000,43151,2026-03-04 10:17:36.590000,37784
148120,136337,2348,Court Reporter,,2026-03-10,2026-03-24,,,,0,,,,,2026-03-05 12:43:52.623000,37784,2026-03-04 09:49:58.810000,43151
148117,136336,1956,Court Reporter,2026-03-04 08:51:55.430000,2026-03-04,2026-03-18,,,,0,,2026-03-04 10:26:14.703000,,,2026-03-04 10:26:14.703000,25093,2026-03-04 08:49:47.827000,37784
148115,136334,1814,Videographer,2026-03-04 15:13:20.310000,2026-03-05,2026-03-19,,,2026-03-04 15:32:31.093000,0,,2026-03-05 14:50:40.830000,,,2026-03-05 14:50:40.830000,35869,2026-03-04 08:41:48.947000,44077
148114,136334,1966,Court Reporter,2026-03-04 15:17:00.590000,2026-03-05,2026-03-19,,,2026-03-04 15:26:18.783000,0,,2026-03-05 14:01:52.097000,,,2026-03-05 14:01:52.097000,25103,2026-03-04 08:40:33.097000,44077
148109,136329,1493,Court Reporter,2026-03-04 10:52:21.877000,2026-04-07,2026-04-21,,,,0,,,,,2026-03-04 10:52:21.877000,37784,2026-03-03 16:53:18.670000,43871
148107,136324,1624,Court Reporter,2026-03-04 13:52:32.483000,2026-03-04,2026-03-18,,,,0,,,,,2026-03-04 13:52:32.483000,44077,2026-03-03 16:16:36.283000,44077
148106,136322,2693,Court Reporter,,2026-03-10,2026-03-24,,,,0,,,,,2026-03-05 13:03:04.613000,37784,2026-03-03 16:14:06.023000,43151
148104,136320,1502,Court Reporter,,2026-03-12,2026-03-26,,,,0,,,,,2026-03-05 13:40:50.940000,37784,2026-03-03 15:56:42.553000,44077
148101,136317,2420,Court Reporter,2026-03-03 15:46:11.400000,2026-03-04,2026-03-25,,,2026-03-03 16:11:19.013000,0,,,,,2026-03-03 16:11:19.013000,43871,2026-03-03 15:38:41.040000,37784
148099,136316,2587,Court Reporter,,2026-04-28,2026-05-12,,,,0,,,,,2026-03-03 15:50:41.760000,44077,2026-03-03 15:31:39.457000,44077
148098,136315,2805,Court Reporter,2026-03-03 15:27:03.567000,2026-03-04,2026-03-18,,,2026-03-03 15:28:34.807000,0,,,,,2026-03-03 15:28:34.807000,37784,2026-03-03 15:24:32.367000,43871
148097,135017,2795,Videographer,2026-03-03 15:10:06.743000,2026-03-04,2026-03-18,,,2026-03-03 16:10:59.220000,0,,,,,2026-03-03 16:10:59.220000,43871,2026-03-03 15:07:28.173000,43151
148094,136312,2260,Court Reporter,,2026-03-13,2026-03-27,,,,0,,,,,2026-03-05 13:56:26.510000,37784,2026-03-03 14:56:12.720000,44077
148093,136311,2351,Court Reporter,2026-03-04 15:16:56.907000,2026-03-05,2026-03-26,,,2026-03-04 15:42:59.883000,0,,,,,2026-03-04 15:42:59.883000,43871,2026-03-03 14:51:22.293000,37784
148092,136310,1966,Court Reporter,,2026-03-13,2026-03-27,,,,0,,,,,2026-03-05 14:16:50.650000,37784,2026-03-03 14:40:29.233000,43151
148091,136309,1407,Court Reporter,,2026-03-12,2026-03-26,,,,0,,,,,2026-03-05 13:33:25.703000,37784,2026-03-03 14:26:30.627000,43151
148088,136303,2522,Court Reporter,2026-03-03 15:14:12.437000,2026-03-04,2026-03-25,,,2026-03-03 17:34:27.087000,0,,,,,2026-03-03 17:34:27.087000,43151,2026-03-03 13:11:23.237000,37784
148084,136300,2587,Court Reporter,,2026-03-10,2026-03-24,,,,0,,,,,2026-03-05 12:55:57.613000,37784,2026-03-03 12:35:50.520000,37784
148082,136298,1642,Interpreter,2026-03-03 12:34:09.193000,2026-05-13,2026-05-28,,,,0,,,,,2026-03-03 12:34:09.193000,44077,2026-03-03 12:30:52.757000,44077
148080,134740,1642,Interpreter,2026-03-03 12:26:53.510000,2026-05-07,2026-05-21,,,,0,,,,,2026-03-03 12:26:53.510000,44077,2026-03-03 12:26:05.293000,44077
148078,136296,2348,Court Reporter,2026-03-04 08:58:33.090000,2026-03-04,2026-03-18,,,,0,,,,,2026-03-04 08:58:33.090000,37784,2026-03-03 12:16:04.753000,37784
148076,136294,2260,Court Reporter,,2026-04-24,2026-05-08,,,,0,,,,,2026-03-03 12:15:58.450000,43871,2026-03-03 12:11:21.717000,43871
148075,136293,2260,Court Reporter,,2026-04-22,2026-05-06,,,,0,,,,,2026-03-03 12:15:39.103000,43871,2026-03-03 12:10:49.723000,43871
148073,136291,2260,Court Reporter,2026-03-03 12:15:02.923000,2026-04-21,2026-05-05,,,,0,,,,,2026-03-03 12:15:02.923000,43871,2026-03-03 12:07:33.557000,43871
148072,135502,2207,Interpreter,2026-03-03 12:06:01.937000,2026-03-11,2026-03-25,,,,0,,,,,2026-03-03 12:06:01.937000,43151,2026-03-03 12:03:23.850000,43151
148071,136290,1642,Interpreter,2026-03-03 16:50:54.230000,2026-03-04,2026-03-18,,,,0,,,,,2026-03-03 16:50:54.230000,43151,2026-03-03 12:00:07.060000,43151
148070,136290,1407,Court Reporter,2026-03-03 17:11:37.830000,2026-03-04,2026-03-18,,,2026-03-03 15:23:33.287000,0,,,,,2026-03-03 17:11:37.830000,43151,2026-03-03 11:57:10.460000,43151
148069,136289,2787,Court Reporter,,2026-03-09,2026-03-23,,,,0,,,,,2026-03-05 12:19:05.083000,37784,2026-03-03 11:44:13.673000,43151
148068,136288,2794,Court Reporter,,2026-03-12,2026-03-26,,,,0,,,,,2026-03-05 13:42:25.347000,37784,2026-03-03 11:41:31.037000,43151
148064,136284,1639,Court Reporter,,2026-03-11,2026-03-25,,,,0,,,,,2026-03-05 13:26:31.230000,37784,2026-03-03 10:42:19.950000,44077
148063,136283,1407,Court Reporter,,2026-03-04,2026-03-18,2026-03-03 11:44:13.673000,1152,,0,,,,,2026-03-03 11:44:13.673000,43151,2026-03-03 10:37:39.547000,43871
148061,136259,2207,Interpreter,2026-03-03 10:31:11.537000,2026-03-25,2026-04-08,,,,0,,,,,2026-03-03 10:31:11.537000,43871,2026-03-03 10:29:57.540000,43871
148058,136279,2689,Court Reporter,,2026-03-12,2026-03-26,,,,0,,,,,2026-03-05 13:47:08.453000,37784,2026-03-03 10:06:20.927000,43871
148054,134717,1642,Interpreter,2026-03-04 15:13:50.267000,2026-03-05,2026-03-19,,,2026-03-04 15:32:59.403000,0,,,,,2026-03-04 15:32:59.403000,37784,2026-03-03 09:55:21.667000,44077
148053,136275,2537,Court Reporter,,2026-03-13,2026-03-27,,,,0,,,,,2026-03-05 14:16:40.670000,37784,2026-03-03 09:53:38.290000,43151
148051,136273,1966,Court Reporter,,2026-03-12,2026-03-26,,,,0,,,,,2026-03-05 13:40:41.900000,37784,2026-03-03 09:45:06.153000,43871
