ListNo,ListValue,LastModified,LastModifiedBy,Entered,EnteredBy
2445,Videographer | PiP (Remote Host),2025-12-17 11:41:19.250000,1001,2025-12-17 11:41:19.250000,1001
2408,D Tier,2025-11-13 16:05:26.690000,1001,2024-02-27 08:23:02.553000,30557
2407,C Tier,2025-11-13 16:05:20.380000,1001,2024-02-27 08:22:56.790000,30557
2406,B Tier,2025-11-13 16:05:14.687000,1001,2024-02-27 08:22:50.910000,30557
2405,A Tier,2025-11-13 16:05:09.190000,1001,2024-02-27 08:22:33.127000,30557
2444,Independent Contractor - Florida Rates,2025-11-13 12:36:07.133000,1021,2025-11-13 12:36:07.133000,1021
2022,Florida Rates,2025-11-13 12:27:07.880000,1021,2008-08-12 14:08:16.167000,1001
2442,Videographer | Day-In-Life,2025-11-03 09:15:47.723000,1001,2025-11-03 09:15:47.723000,1001
2441,9. Court Recorder Transcription,2025-09-20 10:12:20.940000,1001,2025-09-20 10:12:20.940000,1001
2440,8. Collections,2025-09-10 15:24:31.657000,1001,2025-09-10 15:23:18.900000,1001
2188,Videographer | Overflow GA Affiliate,2025-08-06 11:56:04.613000,1001,2019-06-18 21:49:46.200000,1001
2292,Videographer | GA Affiliate,2025-08-06 11:55:51.553000,1001,2022-11-18 13:20:18.377000,32900
2288,Videographer | Complex Video,2025-08-06 11:55:02.633000,1001,2022-10-28 11:52:45.787000,32900
2439,Spanish Interpreter - Client Meeting,2025-05-28 10:59:52.840000,27562,2025-05-28 10:59:52.840000,27562
2438,Spanish Interpreter - Client Meeting,2025-05-28 10:51:39.450000,27562,2025-05-28 10:51:39.450000,27562
2181,Videographer | Trial Presentation,2025-05-26 13:27:48.760000,1001,2019-06-08 21:58:59.330000,1001
2287,Exhibit Host,2025-05-26 13:27:31.817000,1001,2022-10-25 12:57:39.917000,32900
2289,Videographer | Exhibit Host,2025-05-26 13:27:25.683000,1001,2022-10-28 11:53:47.370000,32900
2432,Videographer | Recorder - Court,2025-05-26 12:25:29.330000,1001,2025-02-18 15:06:10.553000,27562
2178,Videoconference (GalloMeet),2025-05-26 12:15:58.570000,1001,2019-06-06 19:51:57.687000,1001
2279,Read & Sign,2025-05-26 12:13:52.427000,1001,2022-08-15 09:06:40.317000,32900
2437,USB drive,2025-03-26 12:15:42.083000,39467,2025-03-26 12:15:32.897000,39467
2436,Hold/Takedown,2025-03-13 14:38:44.377000,1001,2025-03-13 14:37:20.483000,1001
2434,Gallo Interpreter - Spanish (Informal),2025-03-10 15:27:17.150000,27562,2025-03-10 15:27:17.150000,27562
2293,,2025-03-05 11:15:45.763000,1001,2023-01-01 21:40:57.930000,1
2433,Copy_Side_Scheduling_Contact_Process,2025-02-26 11:18:39.227000,1001,2025-02-26 11:18:39.227000,1001
2102,Exhibits,2025-02-26 11:18:39.227000,1001,2015-01-09 13:06:08.917000,1001
2431,Recorder - Court,2025-02-18 15:03:39.317000,27562,2025-02-18 15:03:39.317000,27562
2430,Medical Summary,2025-01-29 10:40:34.520000,27562,2025-01-29 10:40:34.520000,27562
2429,Depo Summary,2025-01-29 10:40:25.887000,27562,2025-01-29 10:40:25.887000,27562
2428,Media,2024-12-03 11:00:51.707000,1001,2024-12-03 10:58:54.727000,1001
2154,,2024-12-03 11:00:51.707000,1001,2015-11-04 00:02:06.360000,1
2427,Job Status Communication,2024-11-15 13:23:25.940000,1001,2024-11-15 13:23:25.940000,1001
2426,Tier C,2024-10-29 14:17:38.340000,1001,2024-10-29 14:17:38.340000,1001
2425,Tier B,2024-10-29 14:17:31.530000,1001,2024-10-29 14:17:10.383000,1001
2421,Tier A,2024-10-29 14:17:22.793000,1001,2024-05-03 13:53:52.577000,27562
2424,RUSH,2024-10-22 17:08:07.823000,27562,2024-10-22 17:08:07.823000,27562
2423,SettlePay 50 - Pay Upon Settlement*,2024-06-17 21:34:06.860000,1001,2024-06-17 21:34:06.860000,1001
2422,Gallo Interpreter - Vietnamese,2024-05-20 16:31:16.160000,27562,2024-05-20 16:31:16.160000,27562
2420,Transcribing,2024-05-03 09:18:44.957000,27562,2024-05-03 09:18:44.957000,27562
2419,75% Completed,2024-04-25 12:15:21.223000,27562,2024-04-25 12:14:53.580000,27562
2418,8. Picture In Picture,2024-04-16 10:41:08.603000,27562,2024-04-16 10:41:08.603000,27562
2417,Gallo Interpreter - Spanish,2024-04-04 12:01:04.823000,27562,2024-04-04 12:01:04.823000,27562
2416,Copy,2024-04-04 08:24:45.213000,30557,2024-04-04 08:24:45.213000,30557
2415,Gallo Interpreter - Spanish,2024-04-03 16:40:43.960000,27562,2024-04-03 16:40:43.960000,27562
2413,Follow Up,2024-02-27 16:35:28.343000,27562,2024-02-27 16:35:28.343000,27562
